ARTICLE NAME,DATE PUBLISHED,Date,POSITIVE, NEGATIVE,SENTIMENTAL ANALYSIS NEUTRAL,Overall Sentiment ,Percentage,Amount,,Open,High,Low,Close
Apple unveils completely redesigned iPad in four vibrant colors,18-10-2022,2022-10-18 00:00:00-04:00,0.12,0.01,0.88,Positive,0.08%,0.109069824,,144.2576461,145.4573884,139.4189768,142.5323792
Apple Card will soon let users grow Daily Cash rewards while saving for the future,13-10-2022,2022-10-13 00:00:00-04:00,0.12,0.03,0.05,Positive,-3.22%,-4.570953369,,133.8465726,142.3737172,133.231814,141.7788086
iPhone 14 Plus available in stores Friday,10-06-2022,2022-10-06 00:00:00-04:00,0.11,0.03,0.86,Positive,-3.67%,-5.294769287,,144.5749061,146.2902479,143.9899074,144.1981201
iPad Pro is revolutionizing how archaeologists preserve the ancient history of Pompeii,27-09-2022,2022-09-27 00:00:00-04:00,0.05,0.01,0.94,Positive,-1.27%,-1.9037323,,151.4462123,153.4094364,148.6798367,150.4745026
Apple’s global phenomenon “Ted Lasso” joins ranks of the most celebrated comedies in history with back-to-back Emmy wins for Outstanding Comedy Series at the 74th Primetime Emmy Awards,13-09-2022,2022-09-13 00:00:00-04:00,0.2,0.01,0.79,Positive,0.96%,1.45753479,,158.5455463,159.1801245,152.0708605,152.5368805
watchOS 9 is available today,09-12-2022,2022-09-12 00:00:00-04:00,0.06,0.01,0.93,Positive,-5.87%,-9.508773804,,158.2381848,162.8686256,157.9506479,162.0456543
Apple reveals Apple Watch Series 8 and the new Apple Watch SE,09-07-2022,2022-09-07 00:00:00-04:00,0.7,0.02,0.91,Positive,-0.96%,-1.48727417,,153.5085884,155.3429087,152.3088311,154.6389313
Apple propels environmental business solutions forward with second Impact Accelerator class,25-08-2022,2022-08-25 00:00:00-04:00,0.2,0.02,0.78,Positive,-3.77%,-6.355712891,,167.3503252,168.6988058,166.9239749,168.5897369
Apple and Major League Baseball announce September “Friday Night Baseball” doubleheader schedule,08-04-2022,2022-08-04 00:00:00-04:00,0.09,0,0.91,Positive,-0.14%,-0.22807312,,164.3754723,165.5438619,162.811027,164.1774445
Apple Brompton Road celebrates creativity with vibrant design and events featuring local artists,26-07-2022,2022-07-26 00:00:00-04:00,0.15,0.01,0.84,Positive,3.42%,5.138839722,,150.760851,151.5826807,149.3152346,150.1073608
Apple introduces Apple Music Sessions,15-07-2022,2022-07-15 00:00:00-04:00,0.17,0,0.83,Positive,-2.06%,-3.069473267,,148.3052925,149.3746608,146.7408471,148.691452
Apple invites families to create and learn at Apple Camp sessions around the world,15-06-2022,2022-06-15 00:00:00-04:00,0.16,0,0.84,Positive,-3.97%,-5.317108154,,132.9677826,135.9877555,130.8587647,134.0965576
"Apple and Major League Soccer to present all MLS matches around the world for 10 years, beginning in 2023",14-06-2022,2022-06-14 00:00:00-04:00,0.12,0.02,0.86,Positive,2.01%,2.643722534,,131.8192176,132.5717293,130.1854543,131.4528503
Apple announces winners of the 2022 Apple Design Awards,06-06-2022,2022-06-06 00:00:00-04:00,0.21,0.03,0.76,Positive,1.76%,2.544692993,,145.5823473,147.107193,143.4733144,144.7011108
"Apple unveils all-new MacBook Air, supercharged by the new M2 chip",06-06-2022,2022-06-06 00:00:00-04:00,0.11,0.01,0.89,Positive,1.76%,2.544692993,,145.5823473,147.107193,143.4733144,144.7011108
Apple provides developers with even more powerful technologies to push the app experience forward,06-06-2022,2022-06-06 00:00:00-04:00,0.16,0,0.84,Positive,1.76%,2.544692993,,145.5823473,147.107193,143.4733144,144.7011108
Apple introduces new professional training to support growing IT workforce,18-05-2022,2022-05-18 00:00:00-04:00,0.14,0.01,0.86,Positive,-2.46%,-3.435821533,,145.40413,145.9091031,138.5225472,139.4335022
"Apple Fitness+ gives users “Permission to Dance” with new Artist Spotlight series, curated Dance workouts, and more",21-04-2022,2022-04-21 00:00:00-04:00,0.13,0,0.87,Positive,-2.78%,-4.577682495,,167.0015601,169.591953,164.0354558,164.5396881
Report finds third-party apps see global success on the App Store,04-07-2022,2022-04-07 00:00:00-04:00,0.14,0.01,0.85,Positive,-1.19%,-2.026824951,,169.2261148,171.4012546,167.9309185,170.1950378
Apple Business Essentials now available for small businesses,31-03-2022,2022-03-31 00:00:00-04:00,0.11,0,0.89,Positive,-0.17%,-0.296600342,,175.8306472,176.0185029,172.4295121,172.637146
Apple launches $50 million Supplier Employee Development Fund,30-03-2022,2022-03-30 00:00:00-04:00,0.14,0,0.86,Positive,-1.78%,-3.124282837,,176.5326299,177.580651,174.7035264,175.7614441
Apple’s $4.7B in Green Bonds support innovative green technology,24-03-2022,2022-03-24 00:00:00-04:00,0.09,0,0.9,Positive,0.37%,0.64263916,,169.1272554,172.1724575,168.2868683,172.1032562
Apple unveils all-new Mac Studio and Studio Display,03-08-2022,2022-03-08 00:00:00-05:00,0.1,0.01,0.89,Positive,3.50%,5.44770813,,157.0255608,161.039686,154.0396784,155.6611481
Introducing M1 Pro and M1 Max: the most powerful chips Apple has ever built,18-10-2021,2021-10-18 00:00:00-04:00,0.11,0.01,0.89,Positive,1.51%,2.179031372,,141.4423126,144.7848665,141.1563779,144.4989319
